64 128
8 120083 74948 522 42568 19834 1044 34864 100902 32099 S 4157
7 143874 77561 1631 41069 19550 3262 33480 76182 36496 S 2846
6 123406 75232 750 41053 19891 1500 36783 82515 33988 S 2759
5 108266 75269 686 63790 24306 1372 27415 69210 40014 S 2186
4 122213 82448 659 71847 29083 1318 37289 79600 42677 S 3313
3 158139 96844 475 71147 28400 950 35456 67842 51636 S 2065
2 120326 89387 876 56052 29860 1752 32642 48701 55746 S 1768
1 133761 91613 775 64084 26352 1550 29002 30014 69991 E 13255
2 125103 90199 699 60065 29136 1398 33100 48686 69309 E 10556
3 148617 93487 994 60183 25923 1988 35499 64360 70631 E 11301
4 123816 96905 892 59290 27444 1784 37651 68247 69916 E 10696
5 137841 96059 1219 67605 29112 2438 40963 77250 71805 E 11415
6 143690 95213 737 63516 27769 1474 41524 78701 70574 E 11240
7 134571 94564 1578 58588 28803 3156 43722 89205 71137 E 10946
8 146849 96078 1214 66516 26719 2428 43264 85600 72131 E 11411
9 139487 96330 1381 57885 22680 2762 32480 69475 71412 E 7905
10 111820 88459 1557 52120 20190 3114 33888 71766 70379 E 11901
11 105065 74967 1561 43760 20837 3122 34674 83516 72482 E 8599
12 151097 77161 1332 48118 20494 2664 50220 73278 72817 E 11055
13 83307 56995 2248 38424 14875 4496 29346 74775 74187 E 5098
14 83887 67406 1051 47143 14873 2102 29946 80603 71841 E 6257
15 85877 56636 1537 46896 15940 3074 28068 75810 73520 E 10226
16 111635 66030 931 50457 19696 1862 41859 122864 71344 E 10313
17 106443 79870 1324 49542 24849 2648 46249 131450 72494 E 8686
18 104209 69897 1418 55762 20309 2836 43377 113056 73488 E 8600
19 100536 69379 1411 41146 19369 2822 46749 129292 72341 E 8594
20 112919 71270 1385 50267 20145 2770 47410 126837 73802 E 8645
21 97662 68216 1923 42782 20432 3846 47854 132219 74498 E 9820
22 116842 71786 748 44859 20039 1496 49044 133752 70872 E 8767
23 104115 73772 1459 48828 22140 2918 52147 138038 74794 E 9815
24 118800 75030 1116 53795 20511 2232 51968 135943 72895 E 11942
25 122600 76114 501 67405 23025 1002 54071 147868 71535 E 9027
26 118673 77428 593 51414 21283 1186 58345 166420 71659 E 9223
27 113126 78497 758 52380 24210 1516 39517 102958 71287 E 6165
28 83251 50111 1052 30122 12575 2104 33359 94635 73174 E 4598
29 76173 49597 1122 36380 13197 2244 34983 100203 74660 E 4444
30 78063 50627 785 37073 14292 1570 35849 99211 72510 E 5921
31 68698 56139 923 32556 14441 1846 40167 94523 72400 E 6223
32 66473 49736 782 28609 12739 1564 35805 104074 73350 E 4867
33 70748 50186 1412 30233 13146 2824 36455 110461 74806 E 4544
34 74079 50612 756 34079 13441 1512 35895 102643 73779 E 4495
35 73767 50684 780 34059 12755 1560 36656 105040 74565 E 4640
36 71253 49633 931 35355 14571 1862 36987 103207 73056 E 5932
37 69249 49451 922 34336 15374 1844 38954 113320 73600 E 5958
38 69325 50472 965 32380 13289 1930 38426 108283 73105 E 4492
39 69226 49809 980 33660 13461 1960 38650 110356 73779 E 4491
40 67886 49853 1504 31499 13651 3008 38518 116104 77115 E 4505
41 72433 50781 862 34523 14011 1724 41163 120364 74793 E 4635
